Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 64, 1, 8, 64, 0.410615, 0.528156, 0.00787653, 0.0110219, 0.0114731, 0.468194, 0.0714213, 1, 2, 1, 1, 1, 1, 6.98978, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 16384, 4, 4, 128, 0.912981, 0.940735, N/A, 0.390472, 0.417044, 1.9219, 2.6558, 2, 1, 0.5, 1, 4, 1, 20.5454, 2, 2, 0.5, 1, 1, 1, 40.4642, 
40, 64, 1, 8, 64, 0.410615, 0.528156, 0.00787653, 0.0110219, 0.0114731, 0.468194, 0.0714213, 1, 2, 1, 1, 1, 1, 6.98978, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 16384, 1, 4, 128, 0.349087, 0.628399, N/A, 0.0243781, 0.0251057, 0.718668, 0.0560384, 2, 2, 1, 4, 4, 1, 62.9104, 1, 2, 1, 2, 1, 1, 66.901, 
40, 64, 1, 8, 64, 0.410615, 0.528156, 0.00787653, 0.0110219, 0.0114731, 0.468194, 0.0714213, 1, 2, 1, 1, 1, 1, 6.98978, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 16384, 1, 4, 128, 0.349087, 0.628399, N/A, 0.0243781, 0.0251057, 0.718668, 0.0560384, 2, 2, 1, 4, 4, 1, 62.9104, 1, 2, 1, 2, 1, 1, 66.901, 
40, 64, 1, 8, 64, 0.410615, 0.528156, 0.00787653, 0.0110219, 0.0114731, 0.468194, 0.0714213, 1, 2, 1, 1, 1, 1, 6.98978, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 16384, 1, 4, 128, 0.349087, 0.628399, N/A, 0.0243781, 0.0251057, 0.718668, 0.0560384, 2, 2, 1, 4, 4, 1, 62.9104, 1, 2, 1, 2, 1, 1, 66.901, 
40, 64, 1, 8, 64, 0.410615, 0.528156, 0.00787653, 0.0110219, 0.0114731, 0.468194, 0.0714213, 1, 2, 1, 1, 1, 1, 6.98978, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 16384, 1, 4, 128, 0.458425, 0.587757, N/A, 0.0293769, 0.0369417, 1.29277, 0.302442, 2, 2, 0.5, 2, 4, 1, 66.642, 2, 2, 1, 2, 1, 1, 69.0388, 
40, 64, 1, 8, 64, 0.410615, 0.528156, 0.00787653, 0.0110219, 0.0114731, 0.468194, 0.0714213, 1, 2, 1, 1, 1, 1, 6.98978, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 64, 0.180706, 0.145566, N/A, 0.000942264, 0.00219676, 0.0223434, 0.0016209, 2, 1, 1, 1, 1, 1, 59.0305, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 64, 0.180706, 0.145566, N/A, 0.000942264, 0.00219676, 0.0223434, 0.0016209, 2, 1, 1, 1, 1, 1, 59.0305, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 64, 0.180706, 0.145566, N/A, 0.000942264, 0.00219676, 0.0223434, 0.0016209, 2, 1, 1, 1, 1, 1, 59.0305, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 64, 0.180706, 0.145566, N/A, 0.000942264, 0.00219676, 0.0223434, 0.0016209, 2, 1, 1, 1, 1, 1, 59.0305, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 64, 0.180706, 0.145566, N/A, 0.000942264, 0.00219676, 0.0223434, 0.0016209, 2, 1, 1, 1, 1, 1, 59.0305, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 64, 0.180706, 0.145566, N/A, 0.000942264, 0.00219676, 0.0223434, 0.0016209, 2, 1, 1, 1, 1, 1, 59.0305, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 64, 0.180706, 0.145566, N/A, 0.000942264, 0.00219676, 0.0223434, 0.0016209, 2, 1, 1, 1, 1, 1, 59.0305, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
